Symbol,Date,Adj Close,Volume,users_holding,vix_Adj_close,Mcap,Symbol_industry,popularity
DG,2019,135.28357572404164,1896722.619047619,3600.6051215991242,15.387857095238092,35373.67245555556,Consumer Discretionary,not_popular
DG,2020,170.36979332748726,2393375.5102040814,6401.50450426913,31.969455877551034,43222.52300272111,Consumer Discretionary,not_popular
DGX,2018,94.65632643926712,1136557.142857143,310.1163598569305,17.71676182857143,13617.37605619048,Health Care,not_popular
DGX,2019,94.66476927863226,1032733.3333333334,365.93681590474284,15.387857095238092,13141.865703968255,Health Care,not_popular
DGX,2020,106.12644372018828,1651929.2517006802,2428.2141546637545,31.969455877551034,14392.902640816328,Health Care,not_popular
DHI,2018,38.406846727643696,4816622.857142857,851.0414643719812,17.71676182857143,14847.763808571426,Consumer Discretionary,not_popular
DHI,2019,45.530133065723234,4773109.523809524,840.6645535796946,15.387857095238092,17135.1699734127,Consumer Discretionary,not_popular
DHI,2020,51.58283372476799,4754870.748299319,1402.678085210242,31.969455877551034,18940.8582510204,Consumer Discretionary,not_popular
DHR,2018,101.89670875186012,2539176.1904761903,496.9486361947232,17.71676182857143,72088.30995523812,Health Care,not_popular
DHR,2019,132.6415289318751,4707272.222222222,886.9856559841924,15.387857095238092,95358.99711865075,Health Care,not_popular
DHR,2020,161.67939945143095,3221057.1428571427,2590.985478677155,31.969455877551034,114121.94696530607,Health Care,not_popular
DIS,2018,111.01744239443825,7634904.761904762,67265.29008500559,17.71676182857143,168269.6219047618,Communication Services,very_popular
DIS,2019,129.66007405235655,10216139.682539683,137274.2211255297,15.387857095238092,228007.63469126986,Communication Services,very_popular
DIS,2020,118.13278878140612,16980025.850340135,437040.41133190755,31.969455877551034,213286.90954285712,Communication Services,very_popular
DISCA,2018,29.770190447852727,4311544.761904762,1229.1975127740616,17.71676182857143,20275.181507619043,Communication Services,not_popular
DISCA,2019,29.028809479304723,3881075.793650794,1151.7416760412962,15.387857095238092,20219.705143253967,Communication Services,not_popular
DISCA,2020,23.960136063244878,5142269.3877551025,1683.804337415853,31.969455877551034,16407.820307482994,Communication Services,not_popular
DISCK,2018,27.313428497314455,2813473.3333333335,354.24157469342236,17.71676182857143,20275.181507619043,Communication Services,not_popular
DISCK,2019,27.09472225582789,2584152.380952381,332.4955515631347,15.387857095238092,20219.705143253967,Communication Services,not_popular
DISCK,2020,22.08598650718222,3149970.7482993198,473.3728258699251,31.969455877551034,16407.820307482994,Communication Services,not_popular
DISH,2018,32.980857031685964,3188724.761904762,1055.2877357395023,17.71676182857143,15420.650517142853,Communication Services,not_popular
DISH,2019,34.17603168790303,2599932.1428571427,1257.0254344486898,15.387857095238092,16346.110518253972,Communication Services,not_popular
DISH,2020,30.525306156703405,3461058.5034013605,2164.2062073100537,31.969455877551034,15979.302355102041,Communication Services,not_popular
DLR,2018,107.06164928617932,1393698.0952380951,1189.7031110646594,17.71676182857143,24629.316252380948,Real Estate,not_popular
DLR,2019,113.81252709646074,1337042.857142857,1377.8193560505342,15.387857095238092,25882.749433333334,Real Estate,not_popular
DLR,2020,134.24298879402835,2817009.523809524,2563.4312868265793,31.969455877551034,34967.69112108842,Real Estate,not_popular
DLTR,2018,86.00361916678293,3796821.904761905,2408.8693115942037,17.71676182857143,20458.564416190475,Consumer Discretionary,not_popular
DLTR,2019,103.2895237756154,2289326.1904761903,2494.150924935073,15.387857095238092,24529.15992817461,Consumer Discretionary,not_popular
DLTR,2020,85.7447618237969,2927412.2448979593,5028.076895730507,31.969455877551034,20318.02995510204,Consumer Discretionary,not_popular
DOV,2018,79.90931134905134,1530068.5714285714,349.3526298309177,17.71676182857143,12234.079199999996,Industrials,not_popular
DOV,2019,94.17734836396717,938216.2698412698,397.4080248082876,15.387857095238092,14027.599826190484,Industrials,not_popular
DOV,2020,98.50909169514973,1039933.3333333334,764.554780976075,31.969455877551034,14352.768062585039,Industrials,not_popular
DOW,2019,46.80763273382906,4707581.407035176,1685.609301273519,15.032110522613069,37533.40288040199,Materials,not_popular
DOW,2020,38.666884273087895,6420580.272108844,11835.460069061995,31.969455877551034,29666.219139455785,Materials,not_popular
DPZ,2018,268.1763984316871,567043.8095238095,1971.2849433296174,17.71676182857143,11405.655198095237,Consumer Discretionary,not_popular
DPZ,2019,261.1180712381999,834818.253968254,2186.7524910379293,15.387857095238092,10867.60840833334,Consumer Discretionary,not_popular
DPZ,2020,344.8441064536166,939891.1564625851,3259.1833234391647,31.969455877551034,13644.976957823128,Consumer Discretionary,not_popular
DRE,2018,26.446763937813895,2224010.476190476,267.40267465626164,17.71676182857143,10040.418996190474,Real Estate,not_popular
DRE,2019,30.76364989507766,2028750.7936507936,476.59122397267294,15.387857095238092,11551.279836507942,Real Estate,not_popular
DRE,2020,33.97428613779496,2787368.707482993,1171.399181384352,31.969455877551034,12736.908719047622,Real Estate,not_popular
DRI,2018,105.28506106422061,1449647.619047619,429.4053613898179,17.71676182857143,13604.18646285714,Consumer Discretionary,not_popular
DRI,2019,113.57264991033645,1293442.4603174604,614.9896326045681,15.387857095238092,14278.758642460321,Consumer Discretionary,not_popular
DRI,2020,82.46132156475872,3137561.904761905,7626.913192428201,31.969455877551034,10356.743962585035,Consumer Discretionary,not_popular
DTE,2018,105.67410605294364,1213483.8095238095,206.58045173727243,17.71676182857143,20575.706229523803,Utilities,not_popular
DTE,2019,119.66955978151351,1041144.8412698413,280.2704356082267,15.387857095238092,23146.2018063492,Utilities,not_popular
DTE,2020,109.22781314979605,1469931.2925170069,737.8894799402522,31.969455877551034,21414.723076870752,Utilities,not_popular
DUK,2018,76.0000730968657,3927362.8571428573,2411.73861761427,17.71676182857143,59489.66368285715,Utilities,not_popular
DUK,2019,84.29058804587713,3226901.984126984,2717.358966488917,15.387857095238092,65267.32955436508,Utilities,not_popular
DUK,2020,84.59628718888679,4003320.4081632653,6371.004621884716,31.969455877551034,63966.59538435376,Utilities,not_popular
DVA,2018,66.77980938866025,1681620.9523809524,452.25074879227043,17.71676182857143,11127.033780952383,Health Care,not_popular
DVA,2019,57.94821421305338,2031544.0476190476,703.4269392301095,15.387857095238092,8857.674154365079,Health Care,not_popular
DVA,2020,79.29578223196016,1329243.537414966,876.9866201230932,31.969455877551034,9854.528802721092,Health Care,not_popular
DVN,2018,32.687988299415224,7535347.619047619,1457.367825622445,17.71676182857143,17467.830800000003,Energy,not_popular
DVN,2019,24.689986879863437,6975947.222222222,1780.7034721869545,15.387857095238092,11040.1686702381,Energy,not_popular
DVN,2020,13.461260153322804,10150691.156462586,7661.587388943995,31.969455877551034,5402.779295238094,Energy,not_popular
DXC,2018,74.24511177426292,2563634.285714286,715.2326953270162,17.71676182857143,21768.38764952381,Information Technology,not_popular
DXC,2019,47.447890183282276,3382448.412698413,1290.1865372621894,15.387857095238092,13112.219768253972,Information Technology,not_popular
DXC,2020,20.237413205257077,4877717.68707483,3049.1033859242903,31.969455877551034,5200.93182517007,Information Technology,not_popular
DXCM,2018,130.4712381272089,1396453.3333333333,919.3829178279449,17.71676182857143,11549.532490476186,Health Care,not_popular
DXCM,2019,153.1049207354349,1110980.9523809524,1284.3627969424372,15.387857095238092,13896.52113293651,Health Care,not_popular
DXCM,2020,321.63455688061356,1424084.3537414966,4311.815027576097,31.969455877551034,29649.451081632655,Health Care,not_popular
EA,2018,103.69123869396391,4873535.238095238,9800.087122352284,17.71676182857143,31535.832719999995,Communication Services,not_popular
EA,2019,95.8303967430478,4411473.80952381,14673.121220033416,15.387857095238092,28442.037047222217,Communication Services,not_popular
EA,2020,115.55748292053637,3250019.7278911564,11967.288806952341,31.969455877551034,33467.829541496605,Communication Services,not_popular
EBAY,2018,30.457217534383137,12016312.38095238,7584.208414855072,17.71676182857143,30637.143086666667,Consumer Discretionary,not_popular
EBAY,2019,36.48173631940569,9227701.19047619,6951.211841457589,15.387857095238092,32202.309548412697,Consumer Discretionary,not_popular
EBAY,2020,41.05321279512782,12964398.639455782,9760.892862901548,31.969455877551034,30886.997997278922,Consumer Discretionary,not_popular
ECL,2018,149.14997195289249,1125927.619047619,520.7093838257151,17.71676182857143,43981.499749523784,Materials,not_popular
ECL,2019,182.57728982350184,1066896.4285714286,652.3140553153092,15.387857095238092,53290.26215476188,Materials,not_popular
ECL,2020,191.6084668944482,2706945.5782312923,1166.6219926561648,31.969455877551034,55619.91571904764,Materials,not_popular
ED,2018,72.44910554431733,2096720.0,1184.9739699461168,17.71676182857143,24747.094283809525,Utilities,not_popular
ED,2019,81.60090824914357,1751822.2222222222,1210.1786519392738,15.387857095238092,28411.754544047617,Utilities,not_popular
ED,2020,78.7040948154164,2306929.931972789,1845.2449579630663,31.969455877551034,27009.936288435383,Utilities,not_popular
EFX,2018,114.04170132591611,1214312.380952381,1241.99648481048,17.71676182857143,14064.945690476194,Industrials,not_popular
EFX,2019,126.45194865029956,857735.3174603175,941.16901251463,15.387857095238092,15496.783522222227,Industrials,not_popular
EFX,2020,149.07415574261933,988928.5714285715,756.2796068304805,31.969455877551034,18167.21274489796,Industrials,not_popular
EIX,2018,59.06373291015625,2620498.095238095,507.5027159977703,17.71676182857143,20953.94264,Utilities,not_popular
EIX,2019,62.60208983648391,2557622.222222222,535.1146036006066,15.387857095238092,22566.945120238084,Utilities,not_popular
EIX,2020,60.471919390620016,2670458.5034013605,815.9407829323851,31.969455877551034,22793.85068163266,Utilities,not_popular
EL,2018,134.3003908429827,2254228.5714285714,1251.4157569212189,17.71676182857143,49935.65454476192,Consumer Staples,not_popular
